Linguagem,Teste,Dimensao,Tempo
Java,mult_matr,100,115
Java,mult_matr,100,127
Java,mult_matr,100,103
Java,mult_matr,100,125
Java,mult_matr,100,103
Java,mult_matr,500,264
Java,mult_matr,500,238
Java,mult_matr,500,248
Java,mult_matr,500,276
Java,mult_matr,500,255
Java,mult_matr,1000,1174
Java,mult_matr,1000,1199
Java,mult_matr,1000,1145
Java,mult_matr,1000,1408
Java,mult_matr,1000,1539
Java,mult_matr,1500,4150
Java,mult_matr,1500,4005
Java,mult_matr,1500,3572
Java,mult_matr,1500,3423
Java,mult_matr,1500,3668
Java,mult_matr,2000,14494
Java,mult_matr,2000,8843
Java,mult_matr,2000,8010
Java,mult_matr,2000,17612
Java,mult_matr,2000,8293
C,mult_matr,100,5
C,mult_matr,100,4
C,mult_matr,100,4
C,mult_matr,100,9
C,mult_matr,100,10
C,mult_matr,500,416
C,mult_matr,500,406
C,mult_matr,500,411
C,mult_matr,500,441
C,mult_matr,500,434
C,mult_matr,1000,3334
C,mult_matr,1000,3423
C,mult_matr,1000,3454
C,mult_matr,1000,3415
C,mult_matr,1000,3467
C,mult_matr,1500,11651
C,mult_matr,1500,11244
C,mult_matr,1500,11167
C,mult_matr,1500,11455
C,mult_matr,1500,12203
C,mult_matr,2000,26671
C,mult_matr,2000,26779
C,mult_matr,2000,28813
C,mult_matr,2000,26861
C,mult_matr,2000,27121
Lua,mult_matr,100,21
Lua,mult_matr,100,24
Lua,mult_matr,100,54
Lua,mult_matr,100,23
Lua,mult_matr,100,54
Lua,mult_matr,500,2394
Lua,mult_matr,500,2423
Lua,mult_matr,500,2308
Lua,mult_matr,500,2328
Lua,mult_matr,500,2189
Lua,mult_matr,1000,4787
Lua,mult_matr,1000,4440
Lua,mult_matr,1000,4671
Lua,mult_matr,1000,4973
Lua,mult_matr,1000,1402
Lua,mult_matr,1500,19054
Lua,mult_matr,1500,18099
Lua,mult_matr,1500,17767
Lua,mult_matr,1500,17911
Lua,mult_matr,1500,17812
Lua,mult_matr,2000,29572
Lua,mult_matr,2000,30503
Lua,mult_matr,2000,36955
Lua,mult_matr,2000,29535
Lua,mult_matr,2000,31712
