Linguagem,Teste,Dimensao,Tempo

Java,mult_matr,100,115
Java,mult_matr,100,127
Java,mult_matr,100,103
Java,mult_matr,100,125
Java,mult_matr,100,103
Java,mult_matr,500,264
Java,mult_matr,500,238
Java,mult_matr,500,248
Java,mult_matr,500,276
Java,mult_matr,500,255
Java,mult_matr,1000,1174
Java,mult_matr,1000,1199
Java,mult_matr,1000,1145
Java,mult_matr,1000,1408
Java,mult_matr,1000,1539
Java,mult_matr,1500,4150
Java,mult_matr,1500,4005
Java,mult_matr,1500,3572
Java,mult_matr,1500,3423
Java,mult_matr,1500,3668
Java,mult_matr,2000,14494
Java,mult_matr,2000,8843
Java,mult_matr,2000,8010
Java,mult_matr,2000,17612
Java,mult_matr,2000,8293

