Linguagem,Teste,Dimensao,Tempo

Lua,mult_matr,100,21
Lua,mult_matr,100,24
Lua,mult_matr,100,54
Lua,mult_matr,100,23
Lua,mult_matr,100,54
Lua,mult_matr,500,2394
Lua,mult_matr,500,2423
Lua,mult_matr,500,2308
Lua,mult_matr,500,2328
Lua,mult_matr,500,2189
Lua,mult_matr,1000,4787
Lua,mult_matr,1000,4440
Lua,mult_matr,1000,4671
Lua,mult_matr,1000,4973
Lua,mult_matr,1000,1402
Lua,mult_matr,1500,19054
Lua,mult_matr,1500,18099
Lua,mult_matr,1500,17767
Lua,mult_matr,1500,17911
Lua,mult_matr,1500,17812
Lua,mult_matr,2000,29572
Lua,mult_matr,2000,30503
Lua,mult_matr,2000,36955
Lua,mult_matr,2000,29535
Lua,mult_matr,2000,31712

