lang,test,time_elapsed
python,u8,811
python,u8,812
python,u8,813
python,u8,814
python,u8,815
python,u8,816
python,u8,817
python,u8,818
python,u8,819
python,u8,820
python,u16,1211
python,u16,1212
python,u16,1213
python,u16,1214
python,u16,1215
python,u16,1216
python,u16,1217
python,u16,1218
python,u16,1219
python,u16,1220
python,u32,2511
python,u32,2512
python,u32,2513
python,u32,2514
python,u32,2515
python,u32,2516
python,u32,2517
python,u32,2518
python,u32,2519
python,u32,2520
python,u64,5011
python,u64,5012
python,u64,5013
python,u64,5014
python,u64,5015
python,u64,5016
python,u64,5017
python,u64,5018
python,u64,5019
python,u64,5020
python,u128,10011
python,u128,10012
python,u128,10013
python,u128,10014
python,u128,10015
python,u128,10016
python,u128,10017
python,u128,10018
python,u128,10019
python,u128,10020
