lang,test,time_elapsed
rust,u8,311
rust,u8,312
rust,u8,313
rust,u8,314
rust,u8,315
rust,u8,316
rust,u8,317
rust,u8,318
rust,u8,319
rust,u8,320
rust,u16,611
rust,u16,612
rust,u16,613
rust,u16,614
rust,u16,615
rust,u16,616
rust,u16,617
rust,u16,618
rust,u16,619
rust,u16,620
rust,u32,1211
rust,u32,1212
rust,u32,1213
rust,u32,1214
rust,u32,1215
rust,u32,1216
rust,u32,1217
rust,u32,1218
rust,u32,1219
rust,u32,1220
rust,u64,2211
rust,u64,2212
rust,u64,2213
rust,u64,2214
rust,u64,2215
rust,u64,2216
rust,u64,2217
rust,u64,2218
rust,u64,2219
rust,u64,2220
rust,u128,4411
rust,u128,4412
rust,u128,4413
rust,u128,4414
rust,u128,4415
rust,u128,4416
rust,u128,4417
rust,u128,4418
rust,u128,4419
rust,u128,4420
