lang,test,time_elapsed
rust,u8,311
rust,u8,312
rust,u8,313
rust,u8,314
rust,u8,315
rust,u8,316
rust,u8,317
rust,u8,318
rust,u8,319
rust,u8,320
java,u8,411
java,u8,412
java,u8,413
java,u8,414
java,u8,415
java,u8,416
java,u8,417
java,u8,418
java,u8,419
java,u8,420
python,u8,811
python,u8,812
python,u8,813
python,u8,814
python,u8,815
python,u8,816
python,u8,817
python,u8,818
python,u8,819
python,u8,820
rust,u16,611
rust,u16,612
rust,u16,613
rust,u16,614
rust,u16,615
rust,u16,616
rust,u16,617
rust,u16,618
rust,u16,619
rust,u16,620
java,u16,811
java,u16,812
java,u16,813
java,u16,814
java,u16,815
java,u16,816
java,u16,817
java,u16,818
java,u16,819
java,u16,820
python,u16,1211
python,u16,1212
python,u16,1213
python,u16,1214
python,u16,1215
python,u16,1216
python,u16,1217
python,u16,1218
python,u16,1219
python,u16,1220
rust,u32,1211
rust,u32,1212
rust,u32,1213
rust,u32,1214
rust,u32,1215
rust,u32,1216
rust,u32,1217
rust,u32,1218
rust,u32,1219
rust,u32,1220
java,u32,1411
java,u32,1412
java,u32,1413
java,u32,1414
java,u32,1415
java,u32,1416
java,u32,1417
java,u32,1418
java,u32,1419
java,u32,1420
python,u32,2511
python,u32,2512
python,u32,2513
python,u32,2514
python,u32,2515
python,u32,2516
python,u32,2517
python,u32,2518
python,u32,2519
python,u32,2520
rust,u64,2211
rust,u64,2212
rust,u64,2213
rust,u64,2214
rust,u64,2215
rust,u64,2216
rust,u64,2217
rust,u64,2218
rust,u64,2219
rust,u64,2220
java,u64,2811
java,u64,2812
java,u64,2813
java,u64,2814
java,u64,2815
java,u64,2816
java,u64,2817
java,u64,2818
java,u64,2819
java,u64,2820
python,u64,5011
python,u64,5012
python,u64,5013
python,u64,5014
python,u64,5015
python,u64,5016
python,u64,5017
python,u64,5018
python,u64,5019
python,u64,5020
rust,u128,4411
rust,u128,4412
rust,u128,4413
rust,u128,4414
rust,u128,4415
rust,u128,4416
rust,u128,4417
rust,u128,4418
rust,u128,4419
rust,u128,4420
java,u128,5611
java,u128,5612
java,u128,5613
java,u128,5614
java,u128,5615
java,u128,5616
java,u128,5617
java,u128,5618
java,u128,5619
java,u128,5620
python,u128,10011
python,u128,10012
python,u128,10013
python,u128,10014
python,u128,10015
python,u128,10016
python,u128,10017
python,u128,10018
python,u128,10019
python,u128,10020
