Linguagem,Teste,Elementos,Tempo
Java,mult_matr,10000,115
Java,mult_matr,10000,127
Java,mult_matr,10000,103
Java,mult_matr,10000,125
Java,mult_matr,10000,103
Java,mult_matr,250000,264
Java,mult_matr,250000,238
Java,mult_matr,250000,248
Java,mult_matr,250000,276
Java,mult_matr,250000,255
Java,mult_matr,1000000,1174
Java,mult_matr,1000000,1199
Java,mult_matr,1000000,1145
Java,mult_matr,1000000,1408
Java,mult_matr,1000000,1539
Java,mult_matr,2250000,4150
Java,mult_matr,2250000,4005
Java,mult_matr,2250000,3572
Java,mult_matr,2250000,3423
Java,mult_matr,2250000,3668
Java,mult_matr,4000000,14494
Java,mult_matr,4000000,8843
Java,mult_matr,4000000,8010
Java,mult_matr,4000000,17612
Java,mult_matr,4000000,8293
C,mult_matr,10000,5
C,mult_matr,10000,4
C,mult_matr,10000,4
C,mult_matr,10000,9
C,mult_matr,10000,10
C,mult_matr,250000,416
C,mult_matr,250000,406
C,mult_matr,250000,411
C,mult_matr,250000,441
C,mult_matr,250000,434
C,mult_matr,1000000,3334
C,mult_matr,1000000,3423
C,mult_matr,1000000,3454
C,mult_matr,1000000,3415
C,mult_matr,1000000,3467
C,mult_matr,2250000,11651
C,mult_matr,2250000,11244
C,mult_matr,2250000,11167
C,mult_matr,2250000,11455
C,mult_matr,2250000,12203
C,mult_matr,4000000,26671
C,mult_matr,4000000,26779
C,mult_matr,4000000,28813
C,mult_matr,4000000,26861
C,mult_matr,4000000,27121
Lua,mult_matr,10000,21
Lua,mult_matr,10000,24
Lua,mult_matr,10000,54
Lua,mult_matr,10000,23
Lua,mult_matr,10000,54
Lua,mult_matr,250000,2394
Lua,mult_matr,250000,2423
Lua,mult_matr,250000,2308
Lua,mult_matr,250000,2328
Lua,mult_matr,250000,2189
Lua,mult_matr,1000000,4787
Lua,mult_matr,1000000,4440
Lua,mult_matr,1000000,4671
Lua,mult_matr,1000000,4973
Lua,mult_matr,1000000,1402
Lua,mult_matr,2250000,19054
Lua,mult_matr,2250000,18099
Lua,mult_matr,2250000,17767
Lua,mult_matr,2250000,17911
Lua,mult_matr,2250000,17812
Lua,mult_matr,4000000,29572
Lua,mult_matr,4000000,30503
Lua,mult_matr,4000000,36955
Lua,mult_matr,4000000,29535
Lua,mult_matr,4000000,31712
